Nacionalidad;Pais_de_nacimiento;Periodo;Total
País de la UE27_2020 sin España;Extranjero;2017S1;""
País de la UE27_2020 sin España;Extranjero;2016S2;""
País de la UE27_2020 sin España;Extranjero;2016S1;""
País de la UE27_2020 sin España;Extranjero;2015S2;""
País de la UE27_2020 sin España;Extranjero;2015S1;""
País de la UE27_2020 sin España;Extranjero;2014S2;""
País de la UE27_2020 sin España;Extranjero;2014S1;""
País de la UE27_2020 sin España;Extranjero;2013S2;""
País de la UE27_2020 sin España;Extranjero;2013S1;""
País de la UE27_2020 sin España;Extranjero;2012S2;""
País de la UE27_2020 sin España;Extranjero;2012S1;""
País de la UE27_2020 sin España;Extranjero;2011S2;""
País de la UE27_2020 sin España;Extranjero;2011S1;""
País de la UE27_2020 sin España;Extranjero;2010S2;""
País de la UE27_2020 sin España;Extranjero;2010S1;""
País de la UE27_2020 sin España;Extranjero;2009S2;""
País de la UE27_2020 sin España;Extranjero;2009S1;""
País de la UE27_2020 sin España;Extranjero;2008S2;""
País de la UE27_2020 sin España;Extranjero;2008S1;""
País de la UE28 sin España;Total;2022S1;""
País de la UE28 sin España;Total;2021S2;""
País de la UE28 sin España;Total;2021S1;""
País de la UE28 sin España;Total;2020S2;""
País de la UE28 sin España;Total;2020S1;""
País de la UE28 sin España;Total;2019S2;78343
País de la UE28 sin España;Total;2019S1;73419
País de la UE28 sin España;Total;2018S2;78392
País de la UE28 sin España;Total;2018S1;66906
País de la UE28 sin España;Total;2017S2;74918
País de la UE28 sin España;Total;2017S1;64497
País de la UE28 sin España;Total;2016S2;61285
País de la UE28 sin España;Total;2016S1;55028
País de la UE28 sin España;Total;2015S2;56275
País de la UE28 sin España;Total;2015S1;49903
País de la UE28 sin España;Total;2014S2;54057
País de la UE28 sin España;Total;2014S1;45912
País de la UE28 sin España;Total;2013S2;49305
País de la UE28 sin España;Total;2013S1;41115
País de la UE28 sin España;Total;2012S2;50051
País de la UE28 sin España;Total;2012S1;50269
País de la UE28 sin España;Total;2011S2;65771
País de la UE28 sin España;Total;2011S1;63077
País de la UE28 sin España;Total;2010S2;69199
País de la UE28 sin España;Total;2010S1;58760
País de la UE28 sin España;Total;2009S2;63932
País de la UE28 sin España;Total;2009S1;60067
País de la UE28 sin España;Total;2008S2;75839
País de la UE28 sin España;Total;2008S1;92527
País de la UE28 sin España;España;2022S1;""
País de la UE28 sin España;España;2021S2;""
País de la UE28 sin España;España;2021S1;""
País de la UE28 sin España;España;2020S2;""
País de la UE28 sin España;España;2020S1;""
País de la UE28 sin España;España;2019S2;708
País de la UE28 sin España;España;2019S1;556
País de la UE28 sin España;España;2018S2;641
País de la UE28 sin España;España;2018S1;602
País de la UE28 sin España;España;2017S2;1115
País de la UE28 sin España;España;2017S1;1089
País de la UE28 sin España;España;2016S2;1053
País de la UE28 sin España;España;2016S1;1066
País de la UE28 sin España;España;2015S2;1065
País de la UE28 sin España;España;2015S1;1092
País de la UE28 sin España;España;2014S2;971
País de la UE28 sin España;España;2014S1;942
País de la UE28 sin España;España;2013S2;894
País de la UE28 sin España;España;2013S1;871
País de la UE28 sin España;España;2012S2;897
País de la UE28 sin España;España;2012S1;864
País de la UE28 sin España;España;2011S2;838
País de la UE28 sin España;España;2011S1;879
País de la UE28 sin España;España;2010S2;821
País de la UE28 sin España;España;2010S1;795
País de la UE28 sin España;España;2009S2;693
País de la UE28 sin España;España;2009S1;750
País de la UE28 sin España;España;2008S2;677
País de la UE28 sin España;España;2008S1;764
País de la UE28 sin España;Extranjero;2022S1;""
País de la UE28 sin España;Extranjero;2021S2;""
País de la UE28 sin España;Extranjero;2021S1;""
País de la UE28 sin España;Extranjero;2020S2;""
País de la UE28 sin España;Extranjero;2020S1;""
País de la UE28 sin España;Extranjero;2019S2;77635
País de la UE28 sin España;Extranjero;2019S1;72863
País de la UE28 sin España;Extranjero;2018S2;77751
País de la UE28 sin España;Extranjero;2018S1;66304
País de la UE28 sin España;Extranjero;2017S2;73803
País de la UE28 sin España;Extranjero;2017S1;63408
País de la UE28 sin España;Extranjero;2016S2;60232
País de la UE28 sin España;Extranjero;2016S1;53962
País de la UE28 sin España;Extranjero;2015S2;55211
País de la UE28 sin España;Extranjero;2015S1;48811
País de la UE28 sin España;Extranjero;2014S2;53086
País de la UE28 sin España;Extranjero;2014S1;44970
País de la UE28 sin España;Extranjero;2013S2;48411
País de la UE28 sin España;Extranjero;2013S1;40244
País de la UE28 sin España;Extranjero;2012S2;49155
País de la UE28 sin España;Extranjero;2012S1;49405
País de la UE28 sin España;Extranjero;2011S2;64933
País de la UE28 sin España;Extranjero;2011S1;62198
País de la UE28 sin España;Extranjero;2010S2;68378
País de la UE28 sin España;Extranjero;2010S1;57966
País de la UE28 sin España;Extranjero;2009S2;63239
País de la UE28 sin España;Extranjero;2009S1;59317
País de la UE28 sin España;Extranjero;2008S2;75163
País de la UE28 sin España;Extranjero;2008S1;91763
